frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1025,0,5,7:382:386:107:81:0.4758;7:558:370:113:94:0.7223;7:665:374:209:87:0.3685;7:820:327:139:163:0.4474;7:870:350:409:154:0.1026,4,53:7:558:370:113:94;54:7:382:386:107:81;55:7:820:327:139:163;56:7:870:350:409:154,-1,NONE,inf
1026,0,4,5:385:385:107:82:0.4689;7:562:368:114:95:0.8262;7:763:371:115:64:0.1087;7:913:360:366:145:0.2279,3,53:7:562:368:114:95;54:5:385:385:107:82;56:7:913:360:366:145,-1,NONE,inf
1027,0,4,5:389:384:108:83:0.4903;7:567:368:113:95:0.8016;7:806:372:80:76:0.1614;7:886:378:393:130:0.3683,3,53:7:567:368:113:95;54:5:389:384:108:83;56:7:886:378:393:130,-1,NONE,inf
1028,0,4,5:392:386:105:82:0.5242;7:570:366:115:96:0.7616;7:767:369:130:88:0.5072;7:903:331:376:178:0.4572,3,53:7:570:366:115:96;54:5:392:386:105:82;56:7:903:331:376:178,-1,NONE,inf
1029,0,4,5:396:384:106:84:0.4698;7:573:365:118:99:0.8591;7:815:369:88:76:0.2282;7:925:440:34:47:0.2755,2,53:7:573:365:118:99;54:5:396:384:106:84,-1,NONE,inf
1030,0,4,7:399:382:107:86:0.4839;7:577:364:119:100:0.8539;7:687:367:223:92:0.6182;7:912:324:367:191:0.1580,3,53:7:577:364:119:100;54:7:399:382:107:86;57:7:687:367:223:92,-1,NONE,inf
1031,0,4,7:403:382:107:87:0.5673;7:582:363:120:101:0.8634;7:833:365:84:81:0.1974;7:904:304:375:211:0.5103,3,53:7:582:363:120:101;54:7:403:382:107:87;57:7:904:304:375:211,-1,NONE,inf
1032,0,4,7:407:382:107:87:0.5301;7:586:362:122:101:0.8514;7:842:364:83:90:0.1106;7:916:307:363:210:0.3338,3,53:7:586:362:122:101;54:7:407:382:107:87;57:7:916:307:363:210,-1,NONE,inf
1033,0,4,7:410:382:107:88:0.5172;7:591:361:124:103:0.8743;7:849:364:83:85:0.1390;7:909:299:370:216:0.5826,3,53:7:591:361:124:103;54:7:410:382:107:88;57:7:909:299:370:216,-1,NONE,inf
1034,0,4,5:415:381:106:90:0.5858;7:598:361:123:103:0.7986;7:713:364:233:97:0.5389;7:936:305:343:214:0.2948,3,53:7:598:361:123:103;54:5:415:381:106:90;57:7:936:305:343:214,-1,NONE,inf
1035,0,4,7:417:381:110:90:0.6574;7:601:360:126:105:0.8190;7:861:363:96:90:0.2840;7:1009:439:100:64:0.1806,3,53:7:601:360:126:105;54:7:417:381:110:90;57:7:1009:439:100:64,-1,NONE,inf
1036,0,4,7:421:380:109:91:0.4975;7:607:359:128:106:0.8426;7:871:361:91:93:0.2692;7:961:294:318:224:0.2324,3,53:7:607:359:128:106;54:7:421:380:109:91;58:7:871:361:91:93,-1,NONE,inf
1037,0,4,7:425:378:111:92:0.5480;7:613:358:129:107:0.8382;7:878:361:97:92:0.2415;7:1065:441:91:44:0.1018,3,53:7:613:358:129:107;54:7:425:378:111:92;58:7:878:361:97:92,-1,NONE,inf
1038,0,4,7:430:378:110:92:0.3864;7:616:357:134:109:0.8311;7:738:377:115:86:0.1440;7:1089:440:91:46:0.1227,2,53:7:616:357:134:109;54:7:430:378:110:92,-1,NONE,inf
1039,0,4,7:433:378:112:92:0.5859;7:623:356:133:112:0.8308;7:750:357:239:106:0.4019;7:1112:440:99:50:0.1334,3,53:7:623:356:133:112;54:7:433:378:112:92;58:7:750:357:239:106,-1,NONE,inf
1040,0,3,7:440:378:112:93:0.4072;7:629:354:136:113:0.7723;7:901:359:104:93:0.1641,3,53:7:629:354:136:113;54:7:440:378:112:93;58:7:901:359:104:93,-1,NONE,inf
1041,0,3,7:443:377:112:94:0.5284;7:634:353:140:114:0.7488;7:769:359:246:105:0.5082,3,53:7:634:353:140:114;54:7:443:377:112:94;58:7:769:359:246:105,-1,NONE,inf
