frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
497,0,4,2:512:444:19:18:0.2742;2:553:450:32:25:0.7704;7:320:399:25:64:0.2768;7:728:304:231:223:0.8582,4,38:2:553:450:32:25;40:7:728:304:231:223;42:7:320:399:25:64;43:2:512:444:19:18,38,SAFE,inf
498,0,5,2:512:445:19:17:0.2868;2:554:450:32:25:0.7340;2:625:450:19:18:0.2790;7:320:399:24:64:0.4751;7:733:299:226:228:0.8653,4,38:2:554:450:32:25;40:7:733:299:226:228;42:7:320:399:24:64;43:2:512:445:19:17,38,SAFE,inf
499,0,4,2:555:449:31:26:0.7036;2:627:450:17:17:0.2378;7:320:399:24:63:0.3482;7:737:294:222:232:0.8896,3,38:2:555:449:31:26;40:7:737:294:222:232;42:7:320:399:24:63,38,SAFE,inf
500,0,4,2:556:449:30:25:0.6434;2:628:449:16:18:0.2897;7:320:398:23:63:0.5412;7:741:295:218:231:0.8779,3,38:2:556:449:30:25;40:7:741:295:218:231;42:7:320:398:23:63,38,SAFE,inf
501,0,5,2:555:448:32:25:0.5863;2:629:448:15:17:0.2447;7:159:410:67:56:0.1114;7:320:397:22:64:0.3905;7:748:289:211:237:0.8285,3,38:2:555:448:32:25;40:7:748:289:211:237;42:7:320:397:22:64,38,SAFE,inf
502,0,5,2:555:448:33:25:0.6076;2:629:448:16:18:0.2100;7:158:409:63:57:0.1708;7:320:397:21:63:0.2177;7:754:286:205:242:0.7465,3,38:2:555:448:33:25;40:7:754:286:205:242;42:7:320:397:21:63,38,SAFE,inf
503,0,4,2:512:442:19:18:0.2306;2:556:448:32:25:0.7082;2:630:448:16:17:0.2282;7:760:287:199:242:0.7492,2,38:2:556:448:32:25;40:7:760:287:199:242,38,SAFE,29.035
504,0,3,2:512:442:19:18:0.2035;2:556:448:33:24:0.6897;7:767:282:192:248:0.8381,2,38:2:556:448:33:24;40:7:767:282:192:248,38,SAFE,inf
505,0,4,2:557:448:32:25:0.7036;2:631:448:16:16:0.2206;7:716:434:66:36:0.2178;7:775:276:184:254:0.7937,2,38:2:557:448:32:25;40:7:775:276:184:254,38,SAFE,inf
506,0,3,2:557:448:33:25:0.7444;7:320:395:16:66:0.2378;7:782:275:177:256:0.7895,2,38:2:557:448:33:25;40:7:782:275:177:256,38,SAFE,inf
507,0,2,2:558:448:33:24:0.7430;7:792:275:167:256:0.8635,2,38:2:558:448:33:24;40:7:792:275:167:256,38,SAFE,inf
508,0,2,2:558:448:33:24:0.7247;7:801:188:478:401:0.9098,2,38:2:558:448:33:24;40:7:801:188:478:401,38,SAFE,inf
